place_name;category;rating;latitude;longitude;source;main_category
Cacti Cafe;cafe;4.2;24.8339855;46.7356133;cafes;cafe
فازا قهوة مختصة;cafe;4.3;24.7724577;46.6973369;cafes;cafe
ناريز;cafe;3.8;24.8072766;46.8521092;cafes;cafe
Fc Lounge - اف سي لاونج;cafe;3.5;24.8131149;46.7680585;cafes;cafe
PEAKS;cafe;4.6;24.742045;46.6348092;cafes;cafe
Joffrey's جوفريز;cafe;2.9;24.7146875;46.6349375;cafes;cafe
Just A Space;cafe;3.7;24.7537907;46.6391066;cafes;cafe
الشاهي العراقي;cafe;4.4;24.7858838;46.570204;cafes;cafe
Starbucks;cafe;3;24.5748114;46.6775316;cafes;cafe
Arabica cafe;cafe;3.9;24.7712633;46.8047485;cafes;cafe
ستار بوكس;cafe;4;24.7241864;46.7757565;cafes;cafe
10AM CAFE;cafe;4.9;24.7010111;46.6470984;cafes;cafe
راما كافية;cafe;3.3;24.6067405;46.7445356;cafes;cafe
كيان كافيه;cafe;4;24.5736094;46.6238151;cafes;cafe
McCafe;cafe;4.1;24.6703427;46.7276564;cafes;cafe
عنوان القهوة;cafe;4.1;24.7125499;46.836938;cafes;cafe
Barista Tools;cafe;4;24.7774284;46.6878705;cafes;cafe
barn’s cafe;cafe;4.2;24.5525426;46.6258991;cafes;cafe
blue beans bakery & cafe بلو بينز;cafe;4.6;24.7859556;46.6579725;cafes;cafe
Eve Cafe;cafe;3.6;24.7954196;46.786493;cafes;cafe
بلد المسافر لشيش والمعسلات طريق القصيم;cafe;3.2;24.8826293;46.5877106;cafes;cafe
Mark & Spencer Cafe;cafe;3.4;24.6925495;46.6699901;cafes;cafe
وزنة ورق لتقديم الشاي;cafe;5;24.6766428;46.8016956;cafes;cafe
Aromaz coffee;cafe;4.4;24.8186445;46.6869512;cafes;cafe
Dunkin Donuts;cafe;4.2;24.7677145;46.5773147;cafes;cafe
بدون اسم . قهوة مختصة;cafe;4.1;24.5472751;46.7066242;cafes;cafe
ضحى لاونج DUHA LOUNGE;cafe;4.2;24.8027909;46.6947933;cafes;cafe
ثيم كافيه;cafe;4.3;24.5901176;46.6464823;cafes;cafe
كرك عزام;cafe;4.4;24.5869754;46.543266;cafes;cafe
Pretzel Maker بيرتزل ميكر;cafe;4.5;24.6786722;46.7246902;cafes;cafe
WAST ALQAHRA Coffee shop - كافيه وسط القاهرة;cafe;4.6;24.5916426;46.7587146;cafes;cafe
صبة شاي;cafe;4.5;24.6537921;46.5879395;cafes;cafe
Cusina Cafe;cafe;3.8;24.6455863;46.7170531;cafes;cafe
Caffa coffee;cafe;3.9;24.6886218;46.7763036;cafes;cafe
مزاج مغربي;cafe;4.3;24.6915889;46.7751157;cafes;cafe
سهرانة;cafe;4.4;24.7874156;46.689307;cafes;cafe
Coffee House;cafe;3.6;24.5853449;46.6263145;cafes;cafe
قهوتنا زمان;cafe;4;24.5754061;46.546412;cafes;cafe
INFUSE;cafe;4.2;24.73743;46.6090483;cafes;cafe
dr.CAFE COFFEE;cafe;4.7;24.753468;46.6908358;cafes;cafe
dr.CAFE COFFEE |;cafe;4;24.7884049;46.7254538;cafes;cafe
دانكن دونتس;cafe;3.8;24.5723811;46.5554814;cafes;cafe
Ristretto Caffe;cafe;4.3;24.7017553;46.6758945;cafes;cafe
Tobacco Coffee;cafe;4.2;24.7408308;46.7669694;cafes;cafe
Pure coffee;cafe;4;24.5798633;46.603584;cafes;cafe
KF Coffee;cafe;4.5;24.5931074;46.6941866;cafes;cafe
Vite café;cafe;3.1;24.6930929;46.7142286;cafes;cafe
Half Million;cafe;4.4;24.7759027;46.6183733;cafes;cafe
dr.CAFE COFFEE | د.كيف كافيه;cafe;4;24.8423415;46.7226365;cafes;cafe
عنوان القهوة;cafe;3.3;24.7071199;46.6885793;cafes;cafe
Grek Cafe & Juicery;cafe;4.5;24.8001474;46.6000625;cafes;cafe
دانكن;cafe;4.3;24.7305814;46.834839;cafes;cafe
كافيه المخبز اللذيذ;cafe;4.2;24.6632305;46.7037482;cafes;cafe
مقهى المساء الذهبي;cafe;3.5;24.561911;46.5453144;cafes;cafe
Kaido Cafe;cafe;3.8;24.7274402;46.6904515;cafes;cafe
مقهى وهج الديوانيه;cafe;4.4;24.5599887;46.8467973;cafes;cafe
Starbucks cafe;cafe;4;24.6273239;46.6896532;cafes;cafe
تسالي وقت الزين;cafe;5;24.5719895;46.7535317;cafes;cafe
تاج القهوة;cafe;4.4;24.6443429;46.5701137;cafes;cafe
Churros joy;cafe;4.3;24.7605396;46.6003275;cafes;cafe
مقهى النخبة;cafe;4.1;24.8613421;46.8497697;cafes;cafe
March Coffee مارش كوفي;cafe;4.3;24.6858635;46.6871148;cafes;cafe
